date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
07/01/26,19:15:41,Wednesday,19,0,0,1,3,1,1,1,1,3,1,1,1
07/01/26,19:30:53,Wednesday,19,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,19:46:04,Wednesday,19,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,20:01:15,Wednesday,20,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,20:16:27,Wednesday,20,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,20:31:38,Wednesday,20,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,20:46:50,Wednesday,20,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,21:02:01,Wednesday,21,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,21:17:12,Wednesday,21,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,21:32:24,Wednesday,21,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,21:47:35,Wednesday,21,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,22:02:46,Wednesday,22,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,22:17:58,Wednesday,22,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,22:33:09,Wednesday,22,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,22:48:20,Wednesday,22,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,23:03:32,Wednesday,23,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,23:18:44,Wednesday,23,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,23:33:56,Wednesday,23,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,23:49:07,Wednesday,23,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,00:04:19,Thursday,0,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,00:19:32,Thursday,0,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,00:34:43,Thursday,0,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,00:49:54,Thursday,0,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,01:05:06,Thursday,1,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,01:20:19,Thursday,1,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,01:35:30,Thursday,1,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,01:50:42,Thursday,1,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,02:05:53,Thursday,2,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,02:21:06,Thursday,2,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,02:36:18,Thursday,2,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,02:51:29,Thursday,2,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,03:06:41,Thursday,3,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,03:21:54,Thursday,3,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,03:37:05,Thursday,3,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,03:52:17,Thursday,3,0,0,1,3,1,1,1,1,1,1,1,1
